batch_size,seq_length,max_new_tokens,peak_memory_mb,memory_per_token_mb,generation_time_s,status
1,64,50,962.09,8.439367,7.1422,ok
1,128,50,965.27,5.422857,6.3554,ok
1,256,50,975.0,3.18626,4.7645,ok
2,64,50,965.85,4.2362,3.8441,ok
2,128,50,973.24,2.733826,4.9539,ok
2,256,50,991.45,1.620009,5.591,ok
4,64,50,973.69,2.135295,4.53,ok
4,128,50,983.38,1.381158,5.3008,ok
4,256,50,1024.35,0.836884,8.4071,ok
8,64,50,989.38,1.084841,6.91,ok
8,128,50,1009.16,0.70868,11.4294,ok
8,256,50,1090.15,0.445321,8.6557,ok
