arrival_rate,repeat_number,request_id,queueing_delay,generation_time,total_latency,batch_size,trigger_reason
0.5,1,r0.5-rep1-1,0.208224,1.704419,1.921370,1,timeout
0.5,1,r0.5-rep1-2,0.209846,1.686180,1.897790,1,timeout
0.5,1,r0.5-rep1-3,0.207332,1.772395,1.981913,1,timeout
0.5,1,r0.5-rep1-4,1.432247,1.810271,3.248840,2,timeout
0.5,1,r0.5-rep1-5,1.257971,1.810271,3.074563,2,timeout
0.5,1,r0.5-rep1-6,0.203509,1.754140,1.960155,1,timeout
0.5,1,r0.5-rep1-7,0.213247,1.410153,1.624757,1,timeout
0.5,1,r0.5-rep1-8,0.205478,2.372580,2.581514,2,timeout
0.5,1,r0.5-rep1-9,0.032217,2.372580,2.408252,2,timeout
0.5,1,r0.5-rep1-10,0.320516,1.975314,2.299286,2,timeout
0.5,1,r0.5-rep1-11,0.178858,1.975314,2.157628,2,timeout
0.5,1,r0.5-rep1-12,0.200402,1.540954,1.742811,1,timeout
0.5,1,r0.5-rep1-13,0.206946,1.659561,1.867819,1,timeout
0.5,1,r0.5-rep1-14,1.081769,1.726300,2.809533,1,timeout
0.5,1,r0.5-rep1-15,0.332546,1.901651,2.235647,2,timeout
0.5,1,r0.5-rep1-16,0.011569,1.901651,1.914670,2,timeout
0.5,1,r0.5-rep1-17,1.723458,1.770301,3.495668,2,timeout
0.5,1,r0.5-rep1-18,1.087926,1.770301,2.860136,2,timeout
0.5,1,r0.5-rep1-19,1.062079,1.784809,2.848317,2,timeout
0.5,1,r0.5-rep1-20,0.219905,1.784809,2.006143,2,timeout
0.5,1,r0.5-rep1-21,0.210402,1.567006,1.779421,1,timeout
0.5,1,r0.5-rep1-22,1.326121,1.548219,2.875571,1,timeout
0.5,1,r0.5-rep1-23,0.209138,2.249949,2.460760,1,timeout
0.5,1,r0.5-rep1-24,0.202751,1.533522,1.738497,1,timeout
0.5,1,r0.5-rep1-25,0.424768,1.454914,1.882667,1,timeout
0.5,1,r0.5-rep1-26,1.045647,1.870652,2.918753,2,timeout
0.5,1,r0.5-rep1-27,0.136866,1.870652,2.009972,2,timeout
0.5,1,r0.5-rep1-28,1.873486,1.848849,3.724431,3,timeout
0.5,1,r0.5-rep1-29,1.500625,1.848849,3.351570,3,timeout
0.5,1,r0.5-rep1-30,0.106961,1.848849,1.957906,3,timeout
0.5,1,r0.5-rep1-31,1.166378,1.445441,2.613425,1,timeout
0.5,1,r0.5-rep1-32,0.206657,1.883884,2.091940,1,timeout
0.5,2,r0.5-rep2-1,0.207218,1.695699,1.905008,1,timeout
0.5,2,r0.5-rep2-2,0.208637,1.641980,1.852840,1,timeout
0.5,2,r0.5-rep2-3,0.204444,1.649233,1.855537,1,timeout
0.5,2,r0.5-rep2-4,1.293494,1.761205,3.056206,2,timeout
0.5,2,r0.5-rep2-5,1.114511,1.761205,2.877223,2,timeout
0.5,2,r0.5-rep2-6,0.210180,1.738392,1.950227,1,timeout
